step,model,assigned_layer,server_id,datarate,sinr,ping_ms,speed,rsrp_dbm,rssi_dbm,jitter,cpu_demand,memory_demand,latency_ms,processing_latency_ms,base_latency_ms,distance,energy_consumption,cost,degraded
17,gradient_boosting,Cloud,7,32600000.0,8.906685887899833,46980.14770254799,9.679416735754518,-120.25571959660559,-86.25460409360247,0.00048648396183730166,32,967,201.5214418752424,0.16,201.3614418752424,151.3614418752424,4.36,0.001388888888888889,False
18,gradient_boosting,Cloud,7,26900000.0,9.506804370506712,43959.15087192159,9.182724250471116,-119.79941915025516,-85.74736686204074,-0.00017169156827149217,26,918,200.99643754053295,0.12999999999999998,200.86643754053296,150.86643754053296,4.68,0.001388888888888889,False
19,gradient_boosting,Cloud,7,34300000.0,9.07686793169798,48770.09105751253,9.058964359152137,-118.73718774029423,-86.28878436739024,0.0006403660234341255,34,905,199.0550245251014,0.17,198.88502452510141,148.88502452510141,4.9399999999999995,0.001388888888888889,False
20,gradient_boosting,Cloud,7,31400000.0,9.99262302195881,46023.32929966909,8.566933487125196,-120.38880010691048,-86.27267978496513,0.002171717561500173,31,856,201.52424834489142,0.155,201.36924834489142,151.36924834489142,5.28,0.001388888888888889,False
21,gradient_boosting,Cloud,7,33700000.0,9.981600061825112,48601.7137936686,8.593397536405654,-120.23510285802011,-85.87791277630134,-0.0006963508716418627,33,859,199.8663189683831,0.165,199.7013189683831,149.7013189683831,5.590000000000001,0.001388888888888889,False
22,gradient_boosting,Cloud,7,30900000.0,10.01811098155907,46522.82014745163,7.987834095829428,-119.84410863100283,-85.573494199016,-0.000434758901062558,30,798,199.04417099551486,0.15,198.89417099551486,148.89417099551486,5.92,0.001388888888888889,False
23,gradient_boosting,Cloud,7,31900000.0,9.599027446638411,49333.76581252481,8.159567717132251,-119.03173642896358,-85.32467333569812,-0.0003534564421396138,31,815,201.85044750727056,0.155,201.69544750727056,151.69544750727056,6.22,0.001388888888888889,False
24,gradient_boosting,Cloud,7,28500000.0,7.642530186329981,49512.56416535221,8.097470067606558,-120.09283133188983,-85.5725062036052,0.0005887184528302087,28,809,198.6329602038963,0.13999999999999999,198.4929602038963,148.4929602038963,6.53,0.001388888888888889,False
25,gradient_boosting,Cloud,7,31900000.0,9.556640546458725,48272.95541360561,7.912255751967286,-120.20428719334625,-83.47735301541236,0.0009412104798653008,31,791,199.4410113310061,0.155,199.2860113310061,149.2860113310061,6.8100000000000005,0.001388888888888889,False
26,gradient_boosting,Cloud,7,33500000.0,9.266077158993895,45413.88511725849,8.210794741686144,-119.68542898227662,-85.90688876225508,0.0008623203364830853,33,821,201.68534558845744,0.165,201.52034558845745,151.52034558845745,7.119999999999999,0.001388888888888889,False
27,gradient_boosting,Cloud,7,32400000.0,8.815103836732053,36122.30633064313,8.138867737635012,-118.80856186807254,-85.3282923589819,0.0007229636751685531,32,813,200.52961551014363,0.16,200.36961551014363,150.36961551014363,7.45,0.001388888888888889,False
28,gradient_boosting,Cloud,7,32000000.0,9.911711508975127,40000.01588380823,8.059970488856683,-119.95826297065395,-86.2281673134009,0.0009182743464565726,32,805,201.07799291496897,0.16,200.91799291496898,150.91799291496898,7.77,0.001388888888888889,False
29,gradient_boosting,Cloud,7,31400000.0,9.158544213307126,35227.88091459789,7.8347935995081945,-119.96990442845774,-86.3684952491136,0.0010961475190309166,31,783,200.9438130197376,0.155,200.7888130197376,150.7888130197376,8.09,0.001388888888888889,False
30,gradient_boosting,Cloud,7,32900000.0,9.884448190344113,36489.32635078674,8.029195295266609,-118.81189351092692,-85.420216279291,0.0011171290986607507,32,802,199.553204013665,0.16,199.393204013665,149.393204013665,8.4,0.001388888888888889,False
31,gradient_boosting,Cloud,7,31600000.0,8.287671549144614,34895.83376751651,7.491184161005242,-119.88299159254998,-85.3664586385794,-0.00030843869367874435,31,749,199.25033661804017,0.155,199.09533661804016,149.09533661804016,8.72,0.001388888888888889,False
32,gradient_boosting,Cloud,7,27300000.0,9.138101147724335,36801.147800651415,8.019407333911749,-118.60096396222504,-87.06958976702788,3.919556913439476e-05,27,801,199.31303626939263,0.135,199.17803626939263,149.17803626939263,9.03,0.001388888888888889,False
33,gradient_boosting,Cloud,7,31000000.0,10.027027157873935,38964.37745570185,7.65484580240458,-119.48368558525249,-86.58823104116638,-0.000700726036522156,31,765,199.80239289814034,0.155,199.64739289814034,149.64739289814034,9.299999999999999,0.001388888888888889,False
34,gradient_boosting,Cloud,7,23600000.0,10.06972752273214,32131.71598274777,8.108735198588507,-119.60604793294596,-86.2732376676325,0.00022608434641162035,23,810,201.25592554228328,0.115,201.14092554228327,151.14092554228327,9.610000000000001,0.001388888888888889,False
35,gradient_boosting,Cloud,7,26400000.0,8.674322858251685,33184.93119000411,7.661822868825031,-119.06755340451951,-86.22154959773333,0.00043588229057460486,26,766,201.26840207329084,0.12999999999999998,201.13840207329085,151.13840207329085,9.84,0.001388888888888889,False
36,gradient_boosting,Cloud,7,32200000.000000004,9.750287541165903,29844.2149087325,7.9977759211336705,-120.81875384590887,-84.49712938978202,0.0010645606055610865,32,799,201.70083386557093,0.16,201.54083386557093,151.54083386557093,10.1,0.001388888888888889,False
37,gradient_boosting,Cloud,7,24000000.0,8.767599259125994,32333.03882058336,8.121179366912642,-121.20501343151804,-86.41338597445898,-0.00019415609344262963,24,812,201.8355258833792,0.12000000000000001,201.7155258833792,151.7155258833792,10.42,0.001388888888888889,False
38,gradient_boosting,Cloud,7,31200000.0,9.558619916902993,31684.444564942372,7.740894619536954,-120.58561145454229,-86.63830502219828,0.000302544726591219,31,774,199.7523318291904,0.155,199.5973318291904,149.5973318291904,10.66,0.001388888888888889,False
39,gradient_boosting,Cloud,7,33400000.0,10.302076492157736,30081.94976782164,7.751724653819385,-119.60305932464142,-85.04772480309705,-0.0004277895788727333,33,775,200.0194750884936,0.165,199.85447508849361,149.85447508849361,10.97,0.001388888888888889,False
40,gradient_boosting,Cloud,7,26300000.0,9.671577104016626,31929.448200701314,7.85374586385545,-118.99915998858138,-85.92231920079638,0.00022707520269768804,26,785,201.6532819313597,0.12999999999999998,201.5232819313597,151.5232819313597,11.299999999999999,0.001388888888888889,False
41,gradient_boosting,Cloud,7,30000000.0,8.676525073676729,30495.82450241836,8.332268551695723,-119.91475791873994,-86.77106729064882,-0.00021871540362527813,30,833,199.7567647913687,0.15,199.6067647913687,149.6067647913687,11.56,0.001388888888888889,False
42,gradient_boosting,Cloud,7,32799999.999999996,9.0317825095408,29993.02286934459,7.972915563998768,-118.17168589537968,-84.70093953237703,-0.00019244750266092812,32,797,200.82669728472658,0.16,200.66669728472658,150.66669728472658,11.860000000000001,0.001388888888888889,False
43,gradient_boosting,Cloud,7,30700000.0,9.73561041624122,32631.664707321117,8.093920380209083,-117.24345178212155,-85.93795688050763,0.000356852518114025,30,809,201.85304505292962,0.15,201.7030450529296,151.7030450529296,12.18,0.001388888888888889,False
44,gradient_boosting,Cloud,7,35300000.0,8.077178493539805,27839.76463916444,7.85341785797049,-121.62243068856513,-86.62776364076505,0.0002486673000595438,35,785,200.84335341511633,0.175,200.66835341511631,150.66835341511631,12.48,0.001388888888888889,False
45,gradient_boosting,Cloud,7,36200000.0,8.81122697506934,29278.969946678233,8.053901425016402,-118.22848924010658,-86.02775106661169,0.0008215000911257847,36,805,200.15017983084064,0.18000000000000002,199.97017983084064,149.97017983084064,12.83,0.001388888888888889,False
46,gradient_boosting,Cloud,7,33200000.000000004,10.114510299619788,28318.450641226074,7.845811295697921,-119.63340764033767,-85.34449041823852,0.0005756406798508715,33,784,201.44379111985654,0.165,201.27879111985655,151.27879111985655,13.19,0.001388888888888889,False
47,gradient_boosting,Cloud,7,32700000.000000004,9.5703026114663,25982.147252243834,7.91477021654602,-120.72008732975837,-86.01790878968593,-0.00041938964717499745,32,791,199.83487319248468,0.16,199.67487319248468,149.67487319248468,13.520000000000001,0.001388888888888889,False
48,gradient_boosting,Cloud,7,30100000.0,10.242270942844383,28050.2875393546,8.088846098226554,-118.58844842908982,-85.87186438907719,0.0008282390287494508,30,808,199.70943113409862,0.15,199.55943113409862,149.55943113409862,13.84,0.001388888888888889,False
49,gradient_boosting,Cloud,7,33000000.0,9.6954689211329,26520.022084522938,7.951098926431607,-120.23974495588666,-84.85405176560313,0.00043792370379720476,33,795,202.11047114762417,0.165,201.94547114762418,151.94547114762418,14.14,0.001388888888888889,False
50,gradient_boosting,Cloud,7,32799999.999999996,10.38416513002786,29423.014205286006,7.990106295144543,-119.57122608541766,-86.12748603885528,0.0037663041024646586,32,799,202.3575419310322,0.16,202.1975419310322,152.1975419310322,14.47,0.001388888888888889,False
51,gradient_boosting,Cloud,7,35900000.0,10.158126325144277,29422.729663317452,8.04447724169311,-121.15605072820331,-86.55899633915605,1.0166832270976485e-05,35,804,201.88139837970328,0.175,201.70639837970327,151.70639837970327,14.79,0.001388888888888889,False
52,gradient_boosting,Cloud,7,27200000.0,10.57555269752468,29010.85067062385,7.7613452284972615,-119.4706197855494,-86.82889060058793,-0.00014151709787942025,27,776,201.81697159270746,0.135,201.68197159270747,151.68197159270747,15.14,0.001388888888888889,False
53,gradient_boosting,Cloud,7,6360000.0,9.375803930428564,19288.27193073439,7.956589563017679,-117.6583054780144,-84.55162200673449,0.00727058230108489,6,795,202.4051604668127,0.030000000000000002,202.3751604668127,152.3751604668127,15.41,0.001388888888888889,False
54,gradient_boosting,Cloud,7,3510000.0,10.52554336010629,16463.934213937693,7.508938467211513,-119.0563345734995,-85.97083620482428,0.006457129131897481,3,750,201.29565611064584,0.015000000000000001,201.28065611064585,151.28065611064585,15.469999999999999,0.001388888888888889,False
